"""Notes""","""State of Residence""","""State of Residence Code""","""OE Gestational Age Recode 10""","""OE Gestational Age Recode 10 Code""","""Year""","""Year Code""","Births"
NA,"""Alabama""","""01""","""Under 20 weeks""","""01""","""2016""","""2016""",20
NA,"""Alabama""","""01""","""Under 20 weeks""","""01""","""2017""","""2017""",21
NA,"""Alabama""","""01""","""Under 20 weeks""","""01""","""2018""","""2018""",20
NA,"""Alabama""","""01""","""Under 20 weeks""","""01""","""2019""","""2019""",21
NA,"""Alabama""","""01""","""Under 20 weeks""","""01""","""2020""","""2020""",19
NA,"""Alabama""","""01""","""Under 20 weeks""","""01""","""2021""","""2021""",17
NA,"""Alabama""","""01""","""20 - 27 weeks""","""02""","""2016""","""2016""",581
NA,"""Alabama""","""01""","""20 - 27 weeks""","""02""","""2017""","""2017""",482
NA,"""Alabama""","""01""","""20 - 27 weeks""","""02""","""2018""","""2018""",486
NA,"""Alabama""","""01""","""20 - 27 weeks""","""02""","""2019""","""2019""",493
NA,"""Alabama""","""01""","""20 - 27 weeks""","""02""","""2020""","""2020""",478
NA,"""Alabama""","""01""","""20 - 27 weeks""","""02""","""2021""","""2021""",498
NA,"""Alabama""","""01""","""28 - 31 weeks""","""03""","""2016""","""2016""",675
NA,"""Alabama""","""01""","""28 - 31 weeks""","""03""","""2017""","""2017""",664
NA,"""Alabama""","""01""","""28 - 31 weeks""","""03""","""2018""","""2018""",688
NA,"""Alabama""","""01""","""28 - 31 weeks""","""03""","""2019""","""2019""",678
NA,"""Alabama""","""01""","""28 - 31 weeks""","""03""","""2020""","""2020""",689
NA,"""Alabama""","""01""","""28 - 31 weeks""","""03""","""2021""","""2021""",678
NA,"""Alabama""","""01""","""32 - 35 weeks""","""04""","""2016""","""2016""",3165
NA,"""Alabama""","""01""","""32 - 35 weeks""","""04""","""2017""","""2017""",3239
NA,"""Alabama""","""01""","""32 - 35 weeks""","""04""","""2018""","""2018""",3249
NA,"""Alabama""","""01""","""32 - 35 weeks""","""04""","""2019""","""2019""",3260
NA,"""Alabama""","""01""","""32 - 35 weeks""","""04""","""2020""","""2020""",3328
NA,"""Alabama""","""01""","""32 - 35 weeks""","""04""","""2021""","""2021""",3375
NA,"""Alabama""","""01""","""36 weeks""","""05""","""2016""","""2016""",2642
NA,"""Alabama""","""01""","""36 weeks""","""05""","""2017""","""2017""",2684
