"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Chlamydia""","""Chlamydia Code""","Births"
NA,"""Alabama""","""01""","""2016""","""2016""","""Yes""","""1""",1292
NA,"""Alabama""","""01""","""2016""","""2016""","""No""","""2""",57841
NA,"""Alabama""","""01""","""2016""","""2016""","""Unknown or Not Stated""","""9""",18
NA,"""Alabama""","""01""","""2017""","""2017""","""Yes""","""1""",1269
NA,"""Alabama""","""01""","""2017""","""2017""","""No""","""2""",57657
NA,"""Alabama""","""01""","""2017""","""2017""","""Unknown or Not Stated""","""9""",15
NA,"""Alabama""","""01""","""2018""","""2018""","""Yes""","""1""",1168
NA,"""Alabama""","""01""","""2018""","""2018""","""No""","""2""",56581
NA,"""Alabama""","""01""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""Alabama""","""01""","""2019""","""2019""","""Yes""","""1""",1308
NA,"""Alabama""","""01""","""2019""","""2019""","""No""","""2""",57297
NA,"""Alabama""","""01""","""2019""","""2019""","""Unknown or Not Stated""","""9""",10
NA,"""Alabama""","""01""","""2020""","""2020""","""Yes""","""1""",1381
NA,"""Alabama""","""01""","""2020""","""2020""","""No""","""2""",56261
NA,"""Alabama""","""01""","""2021""","""2021""","""Yes""","""1""",1585
NA,"""Alabama""","""01""","""2021""","""2021""","""No""","""2""",56461
NA,"""Alaska""","""02""","""2016""","""2016""","""Yes""","""1""",339
NA,"""Alaska""","""02""","""2016""","""2016""","""No""","""2""",10772
NA,"""Alaska""","""02""","""2016""","""2016""","""Unknown or Not Stated""","""9""",98
NA,"""Alaska""","""02""","""2017""","""2017""","""Yes""","""1""",220
NA,"""Alaska""","""02""","""2017""","""2017""","""No""","""2""",10106
NA,"""Alaska""","""02""","""2017""","""2017""","""Unknown or Not Stated""","""9""",119
NA,"""Alaska""","""02""","""2018""","""2018""","""Yes""","""1""",248
NA,"""Alaska""","""02""","""2018""","""2018""","""No""","""2""",9707
NA,"""Alaska""","""02""","""2018""","""2018""","""Unknown or Not Stated""","""9""",131
NA,"""Alaska""","""02""","""2019""","""2019""","""Yes""","""1""",263
NA,"""Alaska""","""02""","""2019""","""2019""","""No""","""2""",9450
NA,"""Alaska""","""02""","""2019""","""2019""","""Unknown or Not Stated""","""9""",109
NA,"""Alaska""","""02""","""2020""","""2020""","""Yes""","""1""",210
NA,"""Alaska""","""02""","""2020""","""2020""","""No""","""2""",9172
NA,"""Alaska""","""02""","""2020""","""2020""","""Unknown or Not Stated""","""9""",87
NA,"""Alaska""","""02""","""2021""","""2021""","""Yes""","""1""",238
NA,"""Alaska""","""02""","""2021""","""2021""","""No""","""2""",9065
NA,"""Alaska""","""02""","""2021""","""2021""","""Unknown or Not Stated""","""9""",64
NA,"""Arizona""","""04""","""2016""","""2016""","""Yes""","""1""",2143
NA,"""Arizona""","""04""","""2016""","""2016""","""No""","""2""",82376
NA,"""Arizona""","""04""","""2017""","""2017""","""Yes""","""1""",2211
