"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Syphilis""","""Syphilis Code""","Births"
NA,"""Alabama""","""01""","""2016""","""2016""","""Yes""","""1""",41
NA,"""Alabama""","""01""","""2016""","""2016""","""No""","""2""",59092
NA,"""Alabama""","""01""","""2016""","""2016""","""Unknown or Not Stated""","""9""",18
NA,"""Alabama""","""01""","""2017""","""2017""","""Yes""","""1""",70
NA,"""Alabama""","""01""","""2017""","""2017""","""No""","""2""",58856
NA,"""Alabama""","""01""","""2017""","""2017""","""Unknown or Not Stated""","""9""",15
NA,"""Alabama""","""01""","""2018""","""2018""","""Yes""","""1""",63
NA,"""Alabama""","""01""","""2018""","""2018""","""No""","""2""",57686
NA,"""Alabama""","""01""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""Alabama""","""01""","""2019""","""2019""","""Yes""","""1""",73
NA,"""Alabama""","""01""","""2019""","""2019""","""No""","""2""",58532
NA,"""Alabama""","""01""","""2019""","""2019""","""Unknown or Not Stated""","""9""",10
NA,"""Alabama""","""01""","""2020""","""2020""","""Yes""","""1""",69
NA,"""Alabama""","""01""","""2020""","""2020""","""No""","""2""",57573
NA,"""Alabama""","""01""","""2021""","""2021""","""Yes""","""1""",131
NA,"""Alabama""","""01""","""2021""","""2021""","""No""","""2""",57915
NA,"""Alaska""","""02""","""2016""","""2016""","""No""","""2""",11108
NA,"""Alaska""","""02""","""2016""","""2016""","""Unknown or Not Stated""","""9""",98
NA,"""Alaska""","""02""","""2017""","""2017""","""No""","""2""",10325
NA,"""Alaska""","""02""","""2017""","""2017""","""Unknown or Not Stated""","""9""",119
NA,"""Alaska""","""02""","""2018""","""2018""","""No""","""2""",9950
NA,"""Alaska""","""02""","""2018""","""2018""","""Unknown or Not Stated""","""9""",131
NA,"""Alaska""","""02""","""2019""","""2019""","""No""","""2""",9706
NA,"""Alaska""","""02""","""2019""","""2019""","""Unknown or Not Stated""","""9""",109
NA,"""Alaska""","""02""","""2020""","""2020""","""Yes""","""1""",29
NA,"""Alaska""","""02""","""2020""","""2020""","""No""","""2""",9353
NA,"""Alaska""","""02""","""2020""","""2020""","""Unknown or Not Stated""","""9""",87
NA,"""Alaska""","""02""","""2021""","""2021""","""Yes""","""1""",15
NA,"""Alaska""","""02""","""2021""","""2021""","""No""","""2""",9288
NA,"""Alaska""","""02""","""2021""","""2021""","""Unknown or Not Stated""","""9""",64
NA,"""Arizona""","""04""","""2016""","""2016""","""Yes""","""1""",68
NA,"""Arizona""","""04""","""2016""","""2016""","""No""","""2""",84451
NA,"""Arizona""","""04""","""2017""","""2017""","""Yes""","""1""",104
NA,"""Arizona""","""04""","""2017""","""2017""","""No""","""2""",81762
NA,"""Arizona""","""04""","""2018""","""2018""","""Yes""","""1""",150
NA,"""Arizona""","""04""","""2018""","""2018""","""No""","""2""",80570
NA,"""Arizona""","""04""","""2019""","""2019""","""Yes""","""1""",176
NA,"""Arizona""","""04""","""2019""","""2019""","""No""","""2""",79195
NA,"""Arizona""","""04""","""2020""","""2020""","""Yes""","""1""",219
NA,"""Arizona""","""04""","""2020""","""2020""","""No""","""2""",76724
NA,"""Arizona""","""04""","""2021""","""2021""","""Yes""","""1""",304
NA,"""Arizona""","""04""","""2021""","""2021""","""No""","""2""",77606
NA,"""Arkansas""","""05""","""2016""","""2016""","""Yes""","""1""",44
NA,"""Arkansas""","""05""","""2016""","""2016""","""No""","""2""",38228
NA,"""Arkansas""","""05""","""2017""","""2017""","""Yes""","""1""",43
NA,"""Arkansas""","""05""","""2017""","""2017""","""No""","""2""",37473
NA,"""Arkansas""","""05""","""2018""","""2018""","""Yes""","""1""",87
NA,"""Arkansas""","""05""","""2018""","""2018""","""No""","""2""",36928
NA,"""Arkansas""","""05""","""2019""","""2019""","""Yes""","""1""",98
NA,"""Arkansas""","""05""","""2019""","""2019""","""No""","""2""",36464
NA,"""Arkansas""","""05""","""2020""","""2020""","""Yes""","""1""",96
NA,"""Arkansas""","""05""","""2020""","""2020""","""No""","""2""",35153
NA,"""Arkansas""","""05""","""2021""","""2021""","""Yes""","""1""",152
NA,"""Arkansas""","""05""","""2021""","""2021""","""No""","""2""",35810
NA,"""California""","""06""","""2016""","""2016""","""Yes""","""1""",258
NA,"""California""","""06""","""2016""","""2016""","""No""","""2""",488528
NA,"""California""","""06""","""2016""","""2016""","""Unknown or Not Stated""","""9""",41
NA,"""California""","""06""","""2017""","""2017""","""Yes""","""1""",404
NA,"""California""","""06""","""2017""","""2017""","""No""","""2""",471221
NA,"""California""","""06""","""2017""","""2017""","""Unknown or Not Stated""","""9""",33
NA,"""California""","""06""","""2018""","""2018""","""Yes""","""1""",548
NA,"""California""","""06""","""2018""","""2018""","""No""","""2""",454317
NA,"""California""","""06""","""2018""","""2018""","""Unknown or Not Stated""","""9""",55
NA,"""California""","""06""","""2019""","""2019""","""Yes""","""1""",920
NA,"""California""","""06""","""2019""","""2019""","""No""","""2""",444626
NA,"""California""","""06""","""2019""","""2019""","""Unknown or Not Stated""","""9""",933
NA,"""California""","""06""","""2020""","""2020""","""Yes""","""1""",973
NA,"""California""","""06""","""2020""","""2020""","""No""","""2""",417870
NA,"""California""","""06""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1416
NA,"""California""","""06""","""2021""","""2021""","""Yes""","""1""",1022
NA,"""California""","""06""","""2021""","""2021""","""No""","""2""",417765
NA,"""California""","""06""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1821
NA,"""Colorado""","""08""","""2016""","""2016""","""No""","""2""",66594
NA,"""Colorado""","""08""","""2016""","""2016""","""Unknown or Not Stated""","""9""",10
NA,"""Colorado""","""08""","""2017""","""2017""","""Yes""","""1""",29
NA,"""Colorado""","""08""","""2017""","""2017""","""No""","""2""",64342
NA,"""Colorado""","""08""","""2017""","""2017""","""Unknown or Not Stated""","""9""",11
NA,"""Colorado""","""08""","""2018""","""2018""","""Yes""","""1""",29
NA,"""Colorado""","""08""","""2018""","""2018""","""No""","""2""",62849
NA,"""Colorado""","""08""","""2019""","""2019""","""Yes""","""1""",23
NA,"""Colorado""","""08""","""2019""","""2019""","""No""","""2""",62838
NA,"""Colorado""","""08""","""2020""","""2020""","""Yes""","""1""",56
NA,"""Colorado""","""08""","""2020""","""2020""","""No""","""2""",61427
NA,"""Colorado""","""08""","""2020""","""2020""","""Unknown or Not Stated""","""9""",11
NA,"""Colorado""","""08""","""2021""","""2021""","""Yes""","""1""",68
NA,"""Colorado""","""08""","""2021""","""2021""","""No""","""2""",62876
NA,"""Connecticut""","""09""","""2016""","""2016""","""Yes""","""1""",17
NA,"""Connecticut""","""09""","""2016""","""2016""","""No""","""2""",35384
NA,"""Connecticut""","""09""","""2016""","""2016""","""Unknown or Not Stated""","""9""",614
NA,"""Connecticut""","""09""","""2017""","""2017""","""Yes""","""1""",23
NA,"""Connecticut""","""09""","""2017""","""2017""","""No""","""2""",34951
NA,"""Connecticut""","""09""","""2017""","""2017""","""Unknown or Not Stated""","""9""",247
NA,"""Connecticut""","""09""","""2018""","""2018""","""Yes""","""1""",18
NA,"""Connecticut""","""09""","""2018""","""2018""","""No""","""2""",34619
NA,"""Connecticut""","""09""","""2018""","""2018""","""Unknown or Not Stated""","""9""",88
NA,"""Connecticut""","""09""","""2019""","""2019""","""Yes""","""1""",36
NA,"""Connecticut""","""09""","""2019""","""2019""","""No""","""2""",34138
NA,"""Connecticut""","""09""","""2019""","""2019""","""Unknown or Not Stated""","""9""",84
NA,"""Connecticut""","""09""","""2020""","""2020""","""Yes""","""1""",49
NA,"""Connecticut""","""09""","""2020""","""2020""","""No""","""2""",33321
NA,"""Connecticut""","""09""","""2020""","""2020""","""Unknown or Not Stated""","""9""",90
NA,"""Connecticut""","""09""","""2021""","""2021""","""Yes""","""1""",41
NA,"""Connecticut""","""09""","""2021""","""2021""","""No""","""2""",35599
NA,"""Connecticut""","""09""","""2021""","""2021""","""Unknown or Not Stated""","""9""",30
NA,"""Delaware""","""10""","""2016""","""2016""","""No""","""2""",10989
NA,"""Delaware""","""10""","""2017""","""2017""","""No""","""2""",10851
NA,"""Delaware""","""10""","""2018""","""2018""","""No""","""2""",10614
NA,"""Delaware""","""10""","""2019""","""2019""","""Yes""","""1""",12
NA,"""Delaware""","""10""","""2019""","""2019""","""No""","""2""",10504
NA,"""Delaware""","""10""","""2019""","""2019""","""Unknown or Not Stated""","""9""",46
NA,"""Delaware""","""10""","""2020""","""2020""","""Yes""","""1""",15
NA,"""Delaware""","""10""","""2020""","""2020""","""No""","""2""",10258
NA,"""Delaware""","""10""","""2020""","""2020""","""Unknown or Not Stated""","""9""",119
