"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Infections Checked""","""Infections Checked Code""","Births"
NA,"""Alabama""","""01""","""2016""","""2016""","""At least one checked""","""0""",1663
NA,"""Alabama""","""01""","""2016""","""2016""","""None checked""","""1""",57470
NA,"""Alabama""","""01""","""2016""","""2016""","""Unknown or Not Stated""","""9""",18
NA,"""Alabama""","""01""","""2017""","""2017""","""At least one checked""","""0""",1686
NA,"""Alabama""","""01""","""2017""","""2017""","""None checked""","""1""",57240
NA,"""Alabama""","""01""","""2017""","""2017""","""Unknown or Not Stated""","""9""",15
NA,"""Alabama""","""01""","""2018""","""2018""","""At least one checked""","""0""",1596
NA,"""Alabama""","""01""","""2018""","""2018""","""None checked""","""1""",56153
NA,"""Alabama""","""01""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""Alabama""","""01""","""2019""","""2019""","""At least one checked""","""0""",1773
NA,"""Alabama""","""01""","""2019""","""2019""","""None checked""","""1""",56832
NA,"""Alabama""","""01""","""2019""","""2019""","""Unknown or Not Stated""","""9""",10
NA,"""Alabama""","""01""","""2020""","""2020""","""At least one checked""","""0""",1854
NA,"""Alabama""","""01""","""2020""","""2020""","""None checked""","""1""",55788
NA,"""Alabama""","""01""","""2021""","""2021""","""At least one checked""","""0""",2124
NA,"""Alabama""","""01""","""2021""","""2021""","""None checked""","""1""",55922
NA,"""Alaska""","""02""","""2016""","""2016""","""At least one checked""","""0""",476
NA,"""Alaska""","""02""","""2016""","""2016""","""None checked""","""1""",10635
NA,"""Alaska""","""02""","""2016""","""2016""","""Unknown or Not Stated""","""9""",98
NA,"""Alaska""","""02""","""2017""","""2017""","""At least one checked""","""0""",360
NA,"""Alaska""","""02""","""2017""","""2017""","""None checked""","""1""",9966
NA,"""Alaska""","""02""","""2017""","""2017""","""Unknown or Not Stated""","""9""",119
NA,"""Alaska""","""02""","""2018""","""2018""","""At least one checked""","""0""",379
NA,"""Alaska""","""02""","""2018""","""2018""","""None checked""","""1""",9576
NA,"""Alaska""","""02""","""2018""","""2018""","""Unknown or Not Stated""","""9""",131
NA,"""Alaska""","""02""","""2019""","""2019""","""At least one checked""","""0""",382
NA,"""Alaska""","""02""","""2019""","""2019""","""None checked""","""1""",9331
NA,"""Alaska""","""02""","""2019""","""2019""","""Unknown or Not Stated""","""9""",109
NA,"""Alaska""","""02""","""2020""","""2020""","""At least one checked""","""0""",365
NA,"""Alaska""","""02""","""2020""","""2020""","""None checked""","""1""",9017
NA,"""Alaska""","""02""","""2020""","""2020""","""Unknown or Not Stated""","""9""",87
NA,"""Alaska""","""02""","""2021""","""2021""","""At least one checked""","""0""",376
NA,"""Alaska""","""02""","""2021""","""2021""","""None checked""","""1""",8927
NA,"""Alaska""","""02""","""2021""","""2021""","""Unknown or Not Stated""","""9""",64
NA,"""Arizona""","""04""","""2016""","""2016""","""At least one checked""","""0""",2604
NA,"""Arizona""","""04""","""2016""","""2016""","""None checked""","""1""",81915
NA,"""Arizona""","""04""","""2017""","""2017""","""At least one checked""","""0""",2694
NA,"""Arizona""","""04""","""2017""","""2017""","""None checked""","""1""",79172
NA,"""Arizona""","""04""","""2018""","""2018""","""At least one checked""","""0""",2846
NA,"""Arizona""","""04""","""2018""","""2018""","""None checked""","""1""",77874
NA,"""Arizona""","""04""","""2019""","""2019""","""At least one checked""","""0""",2695
NA,"""Arizona""","""04""","""2019""","""2019""","""None checked""","""1""",76676
NA,"""Arizona""","""04""","""2020""","""2020""","""At least one checked""","""0""",2581
NA,"""Arizona""","""04""","""2020""","""2020""","""None checked""","""1""",74362
NA,"""Arizona""","""04""","""2021""","""2021""","""At least one checked""","""0""",2627
NA,"""Arizona""","""04""","""2021""","""2021""","""None checked""","""1""",75283
NA,"""Arkansas""","""05""","""2016""","""2016""","""At least one checked""","""0""",1326
NA,"""Arkansas""","""05""","""2016""","""2016""","""None checked""","""1""",36946
NA,"""Arkansas""","""05""","""2017""","""2017""","""At least one checked""","""0""",1687
NA,"""Arkansas""","""05""","""2017""","""2017""","""None checked""","""1""",35829
NA,"""Arkansas""","""05""","""2018""","""2018""","""At least one checked""","""0""",1590
NA,"""Arkansas""","""05""","""2018""","""2018""","""None checked""","""1""",35425
NA,"""Arkansas""","""05""","""2019""","""2019""","""At least one checked""","""0""",1620
NA,"""Arkansas""","""05""","""2019""","""2019""","""None checked""","""1""",34942
NA,"""Arkansas""","""05""","""2020""","""2020""","""At least one checked""","""0""",1597
NA,"""Arkansas""","""05""","""2020""","""2020""","""None checked""","""1""",33652
NA,"""Arkansas""","""05""","""2021""","""2021""","""At least one checked""","""0""",1623
NA,"""Arkansas""","""05""","""2021""","""2021""","""None checked""","""1""",34339
NA,"""California""","""06""","""2016""","""2016""","""At least one checked""","""0""",5008
NA,"""California""","""06""","""2016""","""2016""","""None checked""","""1""",483778
NA,"""California""","""06""","""2016""","""2016""","""Unknown or Not Stated""","""9""",41
NA,"""California""","""06""","""2017""","""2017""","""At least one checked""","""0""",5136
NA,"""California""","""06""","""2017""","""2017""","""None checked""","""1""",466489
NA,"""California""","""06""","""2017""","""2017""","""Unknown or Not Stated""","""9""",33
NA,"""California""","""06""","""2018""","""2018""","""At least one checked""","""0""",5582
NA,"""California""","""06""","""2018""","""2018""","""None checked""","""1""",449283
NA,"""California""","""06""","""2018""","""2018""","""Unknown or Not Stated""","""9""",55
NA,"""California""","""06""","""2019""","""2019""","""At least one checked""","""0""",6122
NA,"""California""","""06""","""2019""","""2019""","""None checked""","""1""",439424
NA,"""California""","""06""","""2019""","""2019""","""Unknown or Not Stated""","""9""",933
NA,"""California""","""06""","""2020""","""2020""","""At least one checked""","""0""",5881
NA,"""California""","""06""","""2020""","""2020""","""None checked""","""1""",412962
NA,"""California""","""06""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1416
NA,"""California""","""06""","""2021""","""2021""","""At least one checked""","""0""",5817
NA,"""California""","""06""","""2021""","""2021""","""None checked""","""1""",412970
NA,"""California""","""06""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1821
NA,"""Colorado""","""08""","""2016""","""2016""","""At least one checked""","""0""",1537
NA,"""Colorado""","""08""","""2016""","""2016""","""None checked""","""1""",65066
NA,"""Colorado""","""08""","""2016""","""2016""","""Unknown or Not Stated""","""9""",10
NA,"""Colorado""","""08""","""2017""","""2017""","""At least one checked""","""0""",1458
NA,"""Colorado""","""08""","""2017""","""2017""","""None checked""","""1""",62913
NA,"""Colorado""","""08""","""2017""","""2017""","""Unknown or Not Stated""","""9""",11
NA,"""Colorado""","""08""","""2018""","""2018""","""At least one checked""","""0""",1557
NA,"""Colorado""","""08""","""2018""","""2018""","""None checked""","""1""",61321
NA,"""Colorado""","""08""","""2019""","""2019""","""At least one checked""","""0""",1324
NA,"""Colorado""","""08""","""2019""","""2019""","""None checked""","""1""",61537
NA,"""Colorado""","""08""","""2020""","""2020""","""At least one checked""","""0""",1454
NA,"""Colorado""","""08""","""2020""","""2020""","""None checked""","""1""",60029
NA,"""Colorado""","""08""","""2020""","""2020""","""Unknown or Not Stated""","""9""",11
NA,"""Colorado""","""08""","""2021""","""2021""","""At least one checked""","""0""",1553
NA,"""Colorado""","""08""","""2021""","""2021""","""None checked""","""1""",61391
NA,"""Connecticut""","""09""","""2016""","""2016""","""At least one checked""","""0""",569
NA,"""Connecticut""","""09""","""2016""","""2016""","""None checked""","""1""",34832
NA,"""Connecticut""","""09""","""2016""","""2016""","""Unknown or Not Stated""","""9""",614
NA,"""Connecticut""","""09""","""2017""","""2017""","""At least one checked""","""0""",487
NA,"""Connecticut""","""09""","""2017""","""2017""","""None checked""","""1""",34487
NA,"""Connecticut""","""09""","""2017""","""2017""","""Unknown or Not Stated""","""9""",247
NA,"""Connecticut""","""09""","""2018""","""2018""","""At least one checked""","""0""",515
NA,"""Connecticut""","""09""","""2018""","""2018""","""None checked""","""1""",34122
NA,"""Connecticut""","""09""","""2018""","""2018""","""Unknown or Not Stated""","""9""",88
NA,"""Connecticut""","""09""","""2019""","""2019""","""At least one checked""","""0""",472
NA,"""Connecticut""","""09""","""2019""","""2019""","""None checked""","""1""",33702
NA,"""Connecticut""","""09""","""2019""","""2019""","""Unknown or Not Stated""","""9""",84
NA,"""Connecticut""","""09""","""2020""","""2020""","""At least one checked""","""0""",559
NA,"""Connecticut""","""09""","""2020""","""2020""","""None checked""","""1""",32811
NA,"""Connecticut""","""09""","""2020""","""2020""","""Unknown or Not Stated""","""9""",90
NA,"""Connecticut""","""09""","""2021""","""2021""","""At least one checked""","""0""",599
NA,"""Connecticut""","""09""","""2021""","""2021""","""None checked""","""1""",35041
