"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Eclampsia""","""Eclampsia Code""","Births"
NA,"""Alabama""","""01""","""2016""","""2016""","""Yes""","""1""",917
NA,"""Alabama""","""01""","""2016""","""2016""","""No""","""2""",58231
NA,"""Alabama""","""01""","""2017""","""2017""","""Yes""","""1""",846
NA,"""Alabama""","""01""","""2017""","""2017""","""No""","""2""",58092
NA,"""Alabama""","""01""","""2018""","""2018""","""Yes""","""1""",282
NA,"""Alabama""","""01""","""2018""","""2018""","""No""","""2""",57475
NA,"""Alabama""","""01""","""2019""","""2019""","""Yes""","""1""",177
NA,"""Alabama""","""01""","""2019""","""2019""","""No""","""2""",58434
NA,"""Alabama""","""01""","""2020""","""2020""","""Yes""","""1""",82
NA,"""Alabama""","""01""","""2020""","""2020""","""No""","""2""",57563
NA,"""Alabama""","""01""","""2021""","""2021""","""Yes""","""1""",66
NA,"""Alabama""","""01""","""2021""","""2021""","""No""","""2""",57988
NA,"""Alaska""","""02""","""2016""","""2016""","""Yes""","""1""",136
NA,"""Alaska""","""02""","""2016""","""2016""","""No""","""2""",10998
NA,"""Alaska""","""02""","""2016""","""2016""","""Unknown or Not Stated""","""9""",75
NA,"""Alaska""","""02""","""2017""","""2017""","""Yes""","""1""",176
NA,"""Alaska""","""02""","""2017""","""2017""","""No""","""2""",10166
NA,"""Alaska""","""02""","""2017""","""2017""","""Unknown or Not Stated""","""9""",103
NA,"""Alaska""","""02""","""2018""","""2018""","""Yes""","""1""",68
NA,"""Alaska""","""02""","""2018""","""2018""","""No""","""2""",9899
NA,"""Alaska""","""02""","""2018""","""2018""","""Unknown or Not Stated""","""9""",119
NA,"""Alaska""","""02""","""2019""","""2019""","""Yes""","""1""",39
NA,"""Alaska""","""02""","""2019""","""2019""","""No""","""2""",9701
NA,"""Alaska""","""02""","""2019""","""2019""","""Unknown or Not Stated""","""9""",82
NA,"""Alaska""","""02""","""2020""","""2020""","""Yes""","""1""",24
NA,"""Alaska""","""02""","""2020""","""2020""","""No""","""2""",9366
NA,"""Alaska""","""02""","""2020""","""2020""","""Unknown or Not Stated""","""9""",79
NA,"""Alaska""","""02""","""2021""","""2021""","""Yes""","""1""",34
NA,"""Alaska""","""02""","""2021""","""2021""","""No""","""2""",9276
NA,"""Alaska""","""02""","""2021""","""2021""","""Unknown or Not Stated""","""9""",57
NA,"""Arizona""","""04""","""2016""","""2016""","""Yes""","""1""",160
NA,"""Arizona""","""04""","""2016""","""2016""","""No""","""2""",84360
NA,"""Arizona""","""04""","""2017""","""2017""","""Yes""","""1""",146
NA,"""Arizona""","""04""","""2017""","""2017""","""No""","""2""",81726
NA,"""Arizona""","""04""","""2018""","""2018""","""Yes""","""1""",130
NA,"""Arizona""","""04""","""2018""","""2018""","""No""","""2""",80593
NA,"""Arizona""","""04""","""2019""","""2019""","""Yes""","""1""",116
NA,"""Arizona""","""04""","""2019""","""2019""","""No""","""2""",79257
NA,"""Arizona""","""04""","""2020""","""2020""","""Yes""","""1""",105
NA,"""Arizona""","""04""","""2020""","""2020""","""No""","""2""",76841
NA,"""Arizona""","""04""","""2021""","""2021""","""Yes""","""1""",138
NA,"""Arizona""","""04""","""2021""","""2021""","""No""","""2""",77778
NA,"""Arkansas""","""05""","""2016""","""2016""","""Yes""","""1""",132
NA,"""Arkansas""","""05""","""2016""","""2016""","""No""","""2""",38142
NA,"""Arkansas""","""05""","""2017""","""2017""","""Yes""","""1""",251
NA,"""Arkansas""","""05""","""2017""","""2017""","""No""","""2""",37266
NA,"""Arkansas""","""05""","""2018""","""2018""","""Yes""","""1""",80
NA,"""Arkansas""","""05""","""2018""","""2018""","""No""","""2""",36935
NA,"""Arkansas""","""05""","""2019""","""2019""","""Yes""","""1""",77
NA,"""Arkansas""","""05""","""2019""","""2019""","""No""","""2""",36486
NA,"""Arkansas""","""05""","""2020""","""2020""","""Yes""","""1""",202
NA,"""Arkansas""","""05""","""2020""","""2020""","""No""","""2""",35049
NA,"""Arkansas""","""05""","""2021""","""2021""","""Yes""","""1""",239
NA,"""Arkansas""","""05""","""2021""","""2021""","""No""","""2""",35725
NA,"""California""","""06""","""2016""","""2016""","""Yes""","""1""",389
NA,"""California""","""06""","""2016""","""2016""","""No""","""2""",488435
NA,"""California""","""06""","""2017""","""2017""","""Yes""","""1""",422
NA,"""California""","""06""","""2017""","""2017""","""No""","""2""",471233
NA,"""California""","""06""","""2018""","""2018""","""Yes""","""1""",420
NA,"""California""","""06""","""2018""","""2018""","""No""","""2""",454491
NA,"""California""","""06""","""2019""","""2019""","""Yes""","""1""",397
NA,"""California""","""06""","""2019""","""2019""","""No""","""2""",445737
NA,"""California""","""06""","""2019""","""2019""","""Unknown or Not Stated""","""9""",345
NA,"""California""","""06""","""2020""","""2020""","""Yes""","""1""",366
NA,"""California""","""06""","""2020""","""2020""","""No""","""2""",419674
NA,"""California""","""06""","""2020""","""2020""","""Unknown or Not Stated""","""9""",219
NA,"""California""","""06""","""2021""","""2021""","""Yes""","""1""",347
NA,"""California""","""06""","""2021""","""2021""","""No""","""2""",420020
NA,"""California""","""06""","""2021""","""2021""","""Unknown or Not Stated""","""9""",241
NA,"""Colorado""","""08""","""2016""","""2016""","""Yes""","""1""",289
NA,"""Colorado""","""08""","""2016""","""2016""","""No""","""2""",66312
NA,"""Colorado""","""08""","""2016""","""2016""","""Unknown or Not Stated""","""9""",12
NA,"""Colorado""","""08""","""2017""","""2017""","""Yes""","""1""",295
NA,"""Colorado""","""08""","""2017""","""2017""","""No""","""2""",64078
NA,"""Colorado""","""08""","""2018""","""2018""","""Yes""","""1""",307
NA,"""Colorado""","""08""","""2018""","""2018""","""No""","""2""",62570
NA,"""Colorado""","""08""","""2019""","""2019""","""Yes""","""1""",578
NA,"""Colorado""","""08""","""2019""","""2019""","""No""","""2""",62281
NA,"""Colorado""","""08""","""2019""","""2019""","""Unknown or Not Stated""","""9""",10
