"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Gestational Diabetes""","""Gestational Diabetes Code""","Births"
NA,"""Alabama""","""01""","""2016""","""2016""","""Yes""","""1""",2805
NA,"""Alabama""","""01""","""2016""","""2016""","""No""","""2""",56343
NA,"""Alabama""","""01""","""2017""","""2017""","""Yes""","""1""",3010
NA,"""Alabama""","""01""","""2017""","""2017""","""No""","""2""",55928
NA,"""Alabama""","""01""","""2018""","""2018""","""Yes""","""1""",3030
NA,"""Alabama""","""01""","""2018""","""2018""","""No""","""2""",54727
NA,"""Alabama""","""01""","""2019""","""2019""","""Yes""","""1""",3390
NA,"""Alabama""","""01""","""2019""","""2019""","""No""","""2""",55221
NA,"""Alabama""","""01""","""2020""","""2020""","""Yes""","""1""",3514
NA,"""Alabama""","""01""","""2020""","""2020""","""No""","""2""",54131
NA,"""Alabama""","""01""","""2021""","""2021""","""Yes""","""1""",3833
NA,"""Alabama""","""01""","""2021""","""2021""","""No""","""2""",54221
NA,"""Alaska""","""02""","""2016""","""2016""","""Yes""","""1""",1050
NA,"""Alaska""","""02""","""2016""","""2016""","""No""","""2""",10084
NA,"""Alaska""","""02""","""2016""","""2016""","""Unknown or Not Stated""","""9""",75
NA,"""Alaska""","""02""","""2017""","""2017""","""Yes""","""1""",1035
NA,"""Alaska""","""02""","""2017""","""2017""","""No""","""2""",9307
NA,"""Alaska""","""02""","""2017""","""2017""","""Unknown or Not Stated""","""9""",103
NA,"""Alaska""","""02""","""2018""","""2018""","""Yes""","""1""",1109
NA,"""Alaska""","""02""","""2018""","""2018""","""No""","""2""",8858
NA,"""Alaska""","""02""","""2018""","""2018""","""Unknown or Not Stated""","""9""",119
NA,"""Alaska""","""02""","""2019""","""2019""","""Yes""","""1""",1143
NA,"""Alaska""","""02""","""2019""","""2019""","""No""","""2""",8597
NA,"""Alaska""","""02""","""2019""","""2019""","""Unknown or Not Stated""","""9""",82
NA,"""Alaska""","""02""","""2020""","""2020""","""Yes""","""1""",1183
NA,"""Alaska""","""02""","""2020""","""2020""","""No""","""2""",8207
NA,"""Alaska""","""02""","""2020""","""2020""","""Unknown or Not Stated""","""9""",79
NA,"""Alaska""","""02""","""2021""","""2021""","""Yes""","""1""",1238
NA,"""Alaska""","""02""","""2021""","""2021""","""No""","""2""",8072
NA,"""Alaska""","""02""","""2021""","""2021""","""Unknown or Not Stated""","""9""",57
NA,"""Arizona""","""04""","""2016""","""2016""","""Yes""","""1""",6423
NA,"""Arizona""","""04""","""2016""","""2016""","""No""","""2""",78097
NA,"""Arizona""","""04""","""2017""","""2017""","""Yes""","""1""",6258
NA,"""Arizona""","""04""","""2017""","""2017""","""No""","""2""",75614
NA,"""Arizona""","""04""","""2018""","""2018""","""Yes""","""1""",6851
NA,"""Arizona""","""04""","""2018""","""2018""","""No""","""2""",73872
NA,"""Arizona""","""04""","""2019""","""2019""","""Yes""","""1""",6889
NA,"""Arizona""","""04""","""2019""","""2019""","""No""","""2""",72484
NA,"""Arizona""","""04""","""2020""","""2020""","""Yes""","""1""",7333
NA,"""Arizona""","""04""","""2020""","""2020""","""No""","""2""",69613
NA,"""Arizona""","""04""","""2021""","""2021""","""Yes""","""1""",7713
NA,"""Arizona""","""04""","""2021""","""2021""","""No""","""2""",70203
NA,"""Arkansas""","""05""","""2016""","""2016""","""Yes""","""1""",1785
NA,"""Arkansas""","""05""","""2016""","""2016""","""No""","""2""",36489
NA,"""Arkansas""","""05""","""2017""","""2017""","""Yes""","""1""",1802
NA,"""Arkansas""","""05""","""2017""","""2017""","""No""","""2""",35715
NA,"""Arkansas""","""05""","""2018""","""2018""","""Yes""","""1""",1877
NA,"""Arkansas""","""05""","""2018""","""2018""","""No""","""2""",35138
NA,"""Arkansas""","""05""","""2019""","""2019""","""Yes""","""1""",2072
NA,"""Arkansas""","""05""","""2019""","""2019""","""No""","""2""",34491
NA,"""Arkansas""","""05""","""2020""","""2020""","""Yes""","""1""",2318
NA,"""Arkansas""","""05""","""2020""","""2020""","""No""","""2""",32933
NA,"""Arkansas""","""05""","""2021""","""2021""","""Yes""","""1""",2448
NA,"""Arkansas""","""05""","""2021""","""2021""","""No""","""2""",33516
NA,"""California""","""06""","""2016""","""2016""","""Yes""","""1""",28925
NA,"""California""","""06""","""2016""","""2016""","""No""","""2""",459899
NA,"""California""","""06""","""2017""","""2017""","""Yes""","""1""",30260
NA,"""California""","""06""","""2017""","""2017""","""No""","""2""",441395
NA,"""California""","""06""","""2018""","""2018""","""Yes""","""1""",30942
NA,"""California""","""06""","""2018""","""2018""","""No""","""2""",423969
NA,"""California""","""06""","""2019""","""2019""","""Yes""","""1""",32462
NA,"""California""","""06""","""2019""","""2019""","""No""","""2""",413672
NA,"""California""","""06""","""2019""","""2019""","""Unknown or Not Stated""","""9""",345
NA,"""California""","""06""","""2020""","""2020""","""Yes""","""1""",34093
NA,"""California""","""06""","""2020""","""2020""","""No""","""2""",385947
NA,"""California""","""06""","""2020""","""2020""","""Unknown or Not Stated""","""9""",219
NA,"""California""","""06""","""2021""","""2021""","""Yes""","""1""",36183
NA,"""California""","""06""","""2021""","""2021""","""No""","""2""",384184
NA,"""California""","""06""","""2021""","""2021""","""Unknown or Not Stated""","""9""",241
NA,"""Colorado""","""08""","""2016""","""2016""","""Yes""","""1""",2893
NA,"""Colorado""","""08""","""2016""","""2016""","""No""","""2""",63708
NA,"""Colorado""","""08""","""2016""","""2016""","""Unknown or Not Stated""","""9""",12
NA,"""Colorado""","""08""","""2017""","""2017""","""Yes""","""1""",3068
NA,"""Colorado""","""08""","""2017""","""2017""","""No""","""2""",61305
NA,"""Colorado""","""08""","""2018""","""2018""","""Yes""","""1""",3334
NA,"""Colorado""","""08""","""2018""","""2018""","""No""","""2""",59543
NA,"""Colorado""","""08""","""2019""","""2019""","""Yes""","""1""",3311
NA,"""Colorado""","""08""","""2019""","""2019""","""No""","""2""",59548
NA,"""Colorado""","""08""","""2019""","""2019""","""Unknown or Not Stated""","""9""",10
NA,"""Colorado""","""08""","""2020""","""2020""","""Yes""","""1""",3683
NA,"""Colorado""","""08""","""2020""","""2020""","""No""","""2""",57796
NA,"""Colorado""","""08""","""2020""","""2020""","""Unknown or Not Stated""","""9""",15
NA,"""Colorado""","""08""","""2021""","""2021""","""Yes""","""1""",4034
NA,"""Colorado""","""08""","""2021""","""2021""","""No""","""2""",58906
NA,"""Connecticut""","""09""","""2016""","""2016""","""Yes""","""1""",2325
NA,"""Connecticut""","""09""","""2016""","""2016""","""No""","""2""",32996
NA,"""Connecticut""","""09""","""2016""","""2016""","""Unknown or Not Stated""","""9""",694
NA,"""Connecticut""","""09""","""2017""","""2017""","""Yes""","""1""",2382
NA,"""Connecticut""","""09""","""2017""","""2017""","""No""","""2""",32566
NA,"""Connecticut""","""09""","""2017""","""2017""","""Unknown or Not Stated""","""9""",273
NA,"""Connecticut""","""09""","""2018""","""2018""","""Yes""","""1""",2388
