"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Gestational Hypertension""","""Gestational Hypertension Code""","Births"
NA,"""Alabama""","""01""","""2016""","""2016""","""Yes""","""1""",4283
NA,"""Alabama""","""01""","""2016""","""2016""","""No""","""2""",54865
NA,"""Alabama""","""01""","""2017""","""2017""","""Yes""","""1""",4692
NA,"""Alabama""","""01""","""2017""","""2017""","""No""","""2""",54246
NA,"""Alabama""","""01""","""2018""","""2018""","""Yes""","""1""",5513
NA,"""Alabama""","""01""","""2018""","""2018""","""No""","""2""",52244
NA,"""Alabama""","""01""","""2019""","""2019""","""Yes""","""1""",6523
NA,"""Alabama""","""01""","""2019""","""2019""","""No""","""2""",52088
NA,"""Alabama""","""01""","""2020""","""2020""","""Yes""","""1""",6434
NA,"""Alabama""","""01""","""2020""","""2020""","""No""","""2""",51211
NA,"""Alabama""","""01""","""2021""","""2021""","""Yes""","""1""",7148
NA,"""Alabama""","""01""","""2021""","""2021""","""No""","""2""",50906
NA,"""Alaska""","""02""","""2016""","""2016""","""Yes""","""1""",996
NA,"""Alaska""","""02""","""2016""","""2016""","""No""","""2""",10138
NA,"""Alaska""","""02""","""2016""","""2016""","""Unknown or Not Stated""","""9""",75
NA,"""Alaska""","""02""","""2017""","""2017""","""Yes""","""1""",933
NA,"""Alaska""","""02""","""2017""","""2017""","""No""","""2""",9409
NA,"""Alaska""","""02""","""2017""","""2017""","""Unknown or Not Stated""","""9""",103
NA,"""Alaska""","""02""","""2018""","""2018""","""Yes""","""1""",1049
NA,"""Alaska""","""02""","""2018""","""2018""","""No""","""2""",8918
NA,"""Alaska""","""02""","""2018""","""2018""","""Unknown or Not Stated""","""9""",119
NA,"""Alaska""","""02""","""2019""","""2019""","""Yes""","""1""",1117
NA,"""Alaska""","""02""","""2019""","""2019""","""No""","""2""",8623
NA,"""Alaska""","""02""","""2019""","""2019""","""Unknown or Not Stated""","""9""",82
NA,"""Alaska""","""02""","""2020""","""2020""","""Yes""","""1""",1077
NA,"""Alaska""","""02""","""2020""","""2020""","""No""","""2""",8313
NA,"""Alaska""","""02""","""2020""","""2020""","""Unknown or Not Stated""","""9""",79
NA,"""Alaska""","""02""","""2021""","""2021""","""Yes""","""1""",1212
NA,"""Alaska""","""02""","""2021""","""2021""","""No""","""2""",8098
NA,"""Alaska""","""02""","""2021""","""2021""","""Unknown or Not Stated""","""9""",57
NA,"""Arizona""","""04""","""2016""","""2016""","""Yes""","""1""",5275
NA,"""Arizona""","""04""","""2016""","""2016""","""No""","""2""",79245
NA,"""Arizona""","""04""","""2017""","""2017""","""Yes""","""1""",5523
NA,"""Arizona""","""04""","""2017""","""2017""","""No""","""2""",76349
NA,"""Arizona""","""04""","""2018""","""2018""","""Yes""","""1""",6224
NA,"""Arizona""","""04""","""2018""","""2018""","""No""","""2""",74499
NA,"""Arizona""","""04""","""2019""","""2019""","""Yes""","""1""",6357
NA,"""Arizona""","""04""","""2019""","""2019""","""No""","""2""",73016
NA,"""Arizona""","""04""","""2020""","""2020""","""Yes""","""1""",6841
NA,"""Arizona""","""04""","""2020""","""2020""","""No""","""2""",70105
NA,"""Arizona""","""04""","""2021""","""2021""","""Yes""","""1""",7066
NA,"""Arizona""","""04""","""2021""","""2021""","""No""","""2""",70850
NA,"""Arkansas""","""05""","""2016""","""2016""","""Yes""","""1""",2007
NA,"""Arkansas""","""05""","""2016""","""2016""","""No""","""2""",36267
NA,"""Arkansas""","""05""","""2017""","""2017""","""Yes""","""1""",2106
NA,"""Arkansas""","""05""","""2017""","""2017""","""No""","""2""",35411
NA,"""Arkansas""","""05""","""2018""","""2018""","""Yes""","""1""",2494
NA,"""Arkansas""","""05""","""2018""","""2018""","""No""","""2""",34521
NA,"""Arkansas""","""05""","""2019""","""2019""","""Yes""","""1""",2838
NA,"""Arkansas""","""05""","""2019""","""2019""","""No""","""2""",33725
NA,"""Arkansas""","""05""","""2020""","""2020""","""Yes""","""1""",2819
NA,"""Arkansas""","""05""","""2020""","""2020""","""No""","""2""",32432
NA,"""Arkansas""","""05""","""2021""","""2021""","""Yes""","""1""",3260
NA,"""Arkansas""","""05""","""2021""","""2021""","""No""","""2""",32704
NA,"""California""","""06""","""2016""","""2016""","""Yes""","""1""",19219
NA,"""California""","""06""","""2016""","""2016""","""No""","""2""",469605
NA,"""California""","""06""","""2017""","""2017""","""Yes""","""1""",21058
NA,"""California""","""06""","""2017""","""2017""","""No""","""2""",450597
NA,"""California""","""06""","""2018""","""2018""","""Yes""","""1""",22716
NA,"""California""","""06""","""2018""","""2018""","""No""","""2""",432195
NA,"""California""","""06""","""2019""","""2019""","""Yes""","""1""",25353
NA,"""California""","""06""","""2019""","""2019""","""No""","""2""",420781
NA,"""California""","""06""","""2019""","""2019""","""Unknown or Not Stated""","""9""",345
NA,"""California""","""06""","""2020""","""2020""","""Yes""","""1""",27900
NA,"""California""","""06""","""2020""","""2020""","""No""","""2""",392140
NA,"""California""","""06""","""2020""","""2020""","""Unknown or Not Stated""","""9""",219
NA,"""California""","""06""","""2021""","""2021""","""Yes""","""1""",30630
NA,"""California""","""06""","""2021""","""2021""","""No""","""2""",389737
NA,"""California""","""06""","""2021""","""2021""","""Unknown or Not Stated""","""9""",241
NA,"""Colorado""","""08""","""2016""","""2016""","""Yes""","""1""",3956
NA,"""Colorado""","""08""","""2016""","""2016""","""No""","""2""",62645
NA,"""Colorado""","""08""","""2016""","""2016""","""Unknown or Not Stated""","""9""",12
NA,"""Colorado""","""08""","""2017""","""2017""","""Yes""","""1""",4475
