"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Number of Previous Cesareans""","""Number of Previous Cesareans Code""","Births"
NA,"""Alabama""","""01""","""2016""","""2016""","""0 previous cesareans""","""0""",50799
NA,"""Alabama""","""01""","""2016""","""2016""","""1 previous cesareans""","""1""",5788
NA,"""Alabama""","""01""","""2016""","""2016""","""2 previous cesareans""","""2""",1973
NA,"""Alabama""","""01""","""2016""","""2016""","""3 previous cesareans""","""3""",475
NA,"""Alabama""","""01""","""2016""","""2016""","""4 or more previous cesareans""","""4""",112
NA,"""Alabama""","""01""","""2017""","""2017""","""0 previous cesareans""","""0""",50388
NA,"""Alabama""","""01""","""2017""","""2017""","""1 previous cesareans""","""1""",5882
NA,"""Alabama""","""01""","""2017""","""2017""","""2 previous cesareans""","""2""",2031
NA,"""Alabama""","""01""","""2017""","""2017""","""3 previous cesareans""","""3""",506
NA,"""Alabama""","""01""","""2017""","""2017""","""4 or more previous cesareans""","""4""",128
NA,"""Alabama""","""01""","""2018""","""2018""","""0 previous cesareans""","""0""",49836
NA,"""Alabama""","""01""","""2018""","""2018""","""1 previous cesareans""","""1""",5288
NA,"""Alabama""","""01""","""2018""","""2018""","""2 previous cesareans""","""2""",1991
NA,"""Alabama""","""01""","""2018""","""2018""","""3 previous cesareans""","""3""",510
NA,"""Alabama""","""01""","""2018""","""2018""","""4 or more previous cesareans""","""4""",132
NA,"""Alabama""","""01""","""2019""","""2019""","""0 previous cesareans""","""0""",50201
NA,"""Alabama""","""01""","""2019""","""2019""","""1 previous cesareans""","""1""",5560
NA,"""Alabama""","""01""","""2019""","""2019""","""2 previous cesareans""","""2""",2196
NA,"""Alabama""","""01""","""2019""","""2019""","""3 previous cesareans""","""3""",516
NA,"""Alabama""","""01""","""2019""","""2019""","""4 or more previous cesareans""","""4""",137
NA,"""Alabama""","""01""","""2020""","""2020""","""0 previous cesareans""","""0""",49264
NA,"""Alabama""","""01""","""2020""","""2020""","""1 previous cesareans""","""1""",5590
NA,"""Alabama""","""01""","""2020""","""2020""","""2 previous cesareans""","""2""",2100
NA,"""Alabama""","""01""","""2020""","""2020""","""3 previous cesareans""","""3""",539
NA,"""Alabama""","""01""","""2020""","""2020""","""4 or more previous cesareans""","""4""",152
NA,"""Alabama""","""01""","""2021""","""2021""","""0 previous cesareans""","""0""",49486
NA,"""Alabama""","""01""","""2021""","""2021""","""1 previous cesareans""","""1""",5650
NA,"""Alabama""","""01""","""2021""","""2021""","""2 previous cesareans""","""2""",2145
NA,"""Alabama""","""01""","""2021""","""2021""","""3 previous cesareans""","""3""",606
NA,"""Alabama""","""01""","""2021""","""2021""","""4 or more previous cesareans""","""4""",166
NA,"""Alaska""","""02""","""2016""","""2016""","""0 previous cesareans""","""0""",9804
NA,"""Alaska""","""02""","""2016""","""2016""","""1 previous cesareans""","""1""",917
NA,"""Alaska""","""02""","""2016""","""2016""","""2 previous cesareans""","""2""",294
NA,"""Alaska""","""02""","""2016""","""2016""","""3 previous cesareans""","""3""",72
NA,"""Alaska""","""02""","""2016""","""2016""","""4 or more previous cesareans""","""4""",32
NA,"""Alaska""","""02""","""2016""","""2016""","""Unknown or Not Stated""","""99""",90
NA,"""Alaska""","""02""","""2017""","""2017""","""0 previous cesareans""","""0""",9167
NA,"""Alaska""","""02""","""2017""","""2017""","""1 previous cesareans""","""1""",804
NA,"""Alaska""","""02""","""2017""","""2017""","""2 previous cesareans""","""2""",266
NA,"""Alaska""","""02""","""2017""","""2017""","""3 previous cesareans""","""3""",70
NA,"""Alaska""","""02""","""2017""","""2017""","""4 or more previous cesareans""","""4""",21
NA,"""Alaska""","""02""","""2017""","""2017""","""Unknown or Not Stated""","""99""",117
NA,"""Alaska""","""02""","""2018""","""2018""","""0 previous cesareans""","""0""",8720
NA,"""Alaska""","""02""","""2018""","""2018""","""1 previous cesareans""","""1""",854
NA,"""Alaska""","""02""","""2018""","""2018""","""2 previous cesareans""","""2""",269
NA,"""Alaska""","""02""","""2018""","""2018""","""3 previous cesareans""","""3""",77
NA,"""Alaska""","""02""","""2018""","""2018""","""4 or more previous cesareans""","""4""",33
NA,"""Alaska""","""02""","""2018""","""2018""","""Unknown or Not Stated""","""99""",133
NA,"""Alaska""","""02""","""2019""","""2019""","""0 previous cesareans""","""0""",8621
NA,"""Alaska""","""02""","""2019""","""2019""","""1 previous cesareans""","""1""",759
NA,"""Alaska""","""02""","""2019""","""2019""","""2 previous cesareans""","""2""",234
NA,"""Alaska""","""02""","""2019""","""2019""","""3 previous cesareans""","""3""",87
NA,"""Alaska""","""02""","""2019""","""2019""","""4 or more previous cesareans""","""4""",19
NA,"""Alaska""","""02""","""2019""","""2019""","""Unknown or Not Stated""","""99""",102
NA,"""Alaska""","""02""","""2020""","""2020""","""0 previous cesareans""","""0""",8274
NA,"""Alaska""","""02""","""2020""","""2020""","""1 previous cesareans""","""1""",743
NA,"""Alaska""","""02""","""2020""","""2020""","""2 previous cesareans""","""2""",245
NA,"""Alaska""","""02""","""2020""","""2020""","""3 previous cesareans""","""3""",72
NA,"""Alaska""","""02""","""2020""","""2020""","""4 or more previous cesareans""","""4""",13
NA,"""Alaska""","""02""","""2020""","""2020""","""Unknown or Not Stated""","""99""",122
NA,"""Alaska""","""02""","""2021""","""2021""","""0 previous cesareans""","""0""",8217
NA,"""Alaska""","""02""","""2021""","""2021""","""1 previous cesareans""","""1""",748
NA,"""Alaska""","""02""","""2021""","""2021""","""2 previous cesareans""","""2""",226
NA,"""Alaska""","""02""","""2021""","""2021""","""3 previous cesareans""","""3""",74
NA,"""Alaska""","""02""","""2021""","""2021""","""4 or more previous cesareans""","""4""",28
NA,"""Alaska""","""02""","""2021""","""2021""","""Unknown or Not Stated""","""99""",74
NA,"""Arizona""","""04""","""2016""","""2016""","""0 previous cesareans""","""0""",72524
NA,"""Arizona""","""04""","""2016""","""2016""","""1 previous cesareans""","""1""",7903
NA,"""Arizona""","""04""","""2016""","""2016""","""2 previous cesareans""","""2""",2896
NA,"""Arizona""","""04""","""2016""","""2016""","""3 previous cesareans""","""3""",883
NA,"""Arizona""","""04""","""2016""","""2016""","""4 or more previous cesareans""","""4""",287
NA,"""Arizona""","""04""","""2016""","""2016""","""Unknown or Not Stated""","""99""",27
NA,"""Arizona""","""04""","""2017""","""2017""","""0 previous cesareans""","""0""",70502
NA,"""Arizona""","""04""","""2017""","""2017""","""1 previous cesareans""","""1""",7519
NA,"""Arizona""","""04""","""2017""","""2017""","""2 previous cesareans""","""2""",2701
NA,"""Arizona""","""04""","""2017""","""2017""","""3 previous cesareans""","""3""",859
NA,"""Arizona""","""04""","""2017""","""2017""","""4 or more previous cesareans""","""4""",269
NA,"""Arizona""","""04""","""2017""","""2017""","""Unknown or Not Stated""","""99""",22
NA,"""Arizona""","""04""","""2018""","""2018""","""0 previous cesareans""","""0""",68979
NA,"""Arizona""","""04""","""2018""","""2018""","""1 previous cesareans""","""1""",7643
NA,"""Arizona""","""04""","""2018""","""2018""","""2 previous cesareans""","""2""",2882
NA,"""Arizona""","""04""","""2018""","""2018""","""3 previous cesareans""","""3""",911
NA,"""Arizona""","""04""","""2018""","""2018""","""4 or more previous cesareans""","""4""",302
NA,"""Arizona""","""04""","""2019""","""2019""","""0 previous cesareans""","""0""",67875
NA,"""Arizona""","""04""","""2019""","""2019""","""1 previous cesareans""","""1""",7484
NA,"""Arizona""","""04""","""2019""","""2019""","""2 previous cesareans""","""2""",2747
NA,"""Arizona""","""04""","""2019""","""2019""","""3 previous cesareans""","""3""",968
NA,"""Arizona""","""04""","""2019""","""2019""","""4 or more previous cesareans""","""4""",294
NA,"""Arizona""","""04""","""2020""","""2020""","""0 previous cesareans""","""0""",66017
NA,"""Arizona""","""04""","""2020""","""2020""","""1 previous cesareans""","""1""",7125
NA,"""Arizona""","""04""","""2020""","""2020""","""2 previous cesareans""","""2""",2641
NA,"""Arizona""","""04""","""2020""","""2020""","""3 previous cesareans""","""3""",856
NA,"""Arizona""","""04""","""2020""","""2020""","""4 or more previous cesareans""","""4""",304
NA,"""Arizona""","""04""","""2021""","""2021""","""0 previous cesareans""","""0""",66788
NA,"""Arizona""","""04""","""2021""","""2021""","""1 previous cesareans""","""1""",7472
NA,"""Arizona""","""04""","""2021""","""2021""","""2 previous cesareans""","""2""",2568
NA,"""Arizona""","""04""","""2021""","""2021""","""3 previous cesareans""","""3""",818
NA,"""Arizona""","""04""","""2021""","""2021""","""4 or more previous cesareans""","""4""",269
NA,"""Arkansas""","""05""","""2016""","""2016""","""0 previous cesareans""","""0""",32453
