"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Previous Cesarean Delivery""","""Previous Cesarean Delivery Code""","Births"
NA,"""Alabama""","""01""","""2016""","""2016""","""Yes""","""1""",8349
NA,"""Alabama""","""01""","""2016""","""2016""","""No""","""2""",50799
NA,"""Alabama""","""01""","""2017""","""2017""","""Yes""","""1""",8550
NA,"""Alabama""","""01""","""2017""","""2017""","""No""","""2""",50388
NA,"""Alabama""","""01""","""2018""","""2018""","""Yes""","""1""",7921
NA,"""Alabama""","""01""","""2018""","""2018""","""No""","""2""",49836
NA,"""Alabama""","""01""","""2019""","""2019""","""Yes""","""1""",8410
NA,"""Alabama""","""01""","""2019""","""2019""","""No""","""2""",50201
NA,"""Alabama""","""01""","""2020""","""2020""","""Yes""","""1""",8381
NA,"""Alabama""","""01""","""2020""","""2020""","""No""","""2""",49264
NA,"""Alabama""","""01""","""2021""","""2021""","""Yes""","""1""",8568
NA,"""Alabama""","""01""","""2021""","""2021""","""No""","""2""",49486
NA,"""Alaska""","""02""","""2016""","""2016""","""Yes""","""1""",1330
NA,"""Alaska""","""02""","""2016""","""2016""","""No""","""2""",9804
NA,"""Alaska""","""02""","""2016""","""2016""","""Unknown or Not Stated""","""9""",75
NA,"""Alaska""","""02""","""2017""","""2017""","""Yes""","""1""",1175
NA,"""Alaska""","""02""","""2017""","""2017""","""No""","""2""",9167
NA,"""Alaska""","""02""","""2017""","""2017""","""Unknown or Not Stated""","""9""",103
NA,"""Alaska""","""02""","""2018""","""2018""","""Yes""","""1""",1247
NA,"""Alaska""","""02""","""2018""","""2018""","""No""","""2""",8720
NA,"""Alaska""","""02""","""2018""","""2018""","""Unknown or Not Stated""","""9""",119
NA,"""Alaska""","""02""","""2019""","""2019""","""Yes""","""1""",1119
NA,"""Alaska""","""02""","""2019""","""2019""","""No""","""2""",8621
NA,"""Alaska""","""02""","""2019""","""2019""","""Unknown or Not Stated""","""9""",82
NA,"""Alaska""","""02""","""2020""","""2020""","""Yes""","""1""",1116
NA,"""Alaska""","""02""","""2020""","""2020""","""No""","""2""",8274
NA,"""Alaska""","""02""","""2020""","""2020""","""Unknown or Not Stated""","""9""",79
NA,"""Alaska""","""02""","""2021""","""2021""","""Yes""","""1""",1093
NA,"""Alaska""","""02""","""2021""","""2021""","""No""","""2""",8217
NA,"""Alaska""","""02""","""2021""","""2021""","""Unknown or Not Stated""","""9""",57
NA,"""Arizona""","""04""","""2016""","""2016""","""Yes""","""1""",11996
NA,"""Arizona""","""04""","""2016""","""2016""","""No""","""2""",72524
NA,"""Arizona""","""04""","""2017""","""2017""","""Yes""","""1""",11370
NA,"""Arizona""","""04""","""2017""","""2017""","""No""","""2""",70502
NA,"""Arizona""","""04""","""2018""","""2018""","""Yes""","""1""",11744
NA,"""Arizona""","""04""","""2018""","""2018""","""No""","""2""",68979
NA,"""Arizona""","""04""","""2019""","""2019""","""Yes""","""1""",11498
NA,"""Arizona""","""04""","""2019""","""2019""","""No""","""2""",67875
NA,"""Arizona""","""04""","""2020""","""2020""","""Yes""","""1""",10929
NA,"""Arizona""","""04""","""2020""","""2020""","""No""","""2""",66017
NA,"""Arizona""","""04""","""2021""","""2021""","""Yes""","""1""",11128
NA,"""Arizona""","""04""","""2021""","""2021""","""No""","""2""",66788
NA,"""Arkansas""","""05""","""2016""","""2016""","""Yes""","""1""",5821
NA,"""Arkansas""","""05""","""2016""","""2016""","""No""","""2""",32453
NA,"""Arkansas""","""05""","""2017""","""2017""","""Yes""","""1""",6069
NA,"""Arkansas""","""05""","""2017""","""2017""","""No""","""2""",31448
NA,"""Arkansas""","""05""","""2018""","""2018""","""Yes""","""1""",6324
NA,"""Arkansas""","""05""","""2018""","""2018""","""No""","""2""",30691
NA,"""Arkansas""","""05""","""2019""","""2019""","""Yes""","""1""",6225
NA,"""Arkansas""","""05""","""2019""","""2019""","""No""","""2""",30338
NA,"""Arkansas""","""05""","""2020""","""2020""","""Yes""","""1""",5814
NA,"""Arkansas""","""05""","""2020""","""2020""","""No""","""2""",29437
NA,"""Arkansas""","""05""","""2021""","""2021""","""Yes""","""1""",5595
NA,"""Arkansas""","""05""","""2021""","""2021""","""No""","""2""",30369
NA,"""California""","""06""","""2016""","""2016""","""Yes""","""1""",80883
NA,"""California""","""06""","""2016""","""2016""","""No""","""2""",407941
NA,"""California""","""06""","""2017""","""2017""","""Yes""","""1""",77810
NA,"""California""","""06""","""2017""","""2017""","""No""","""2""",393845
NA,"""California""","""06""","""2018""","""2018""","""Yes""","""1""",74083
NA,"""California""","""06""","""2018""","""2018""","""No""","""2""",380828
NA,"""California""","""06""","""2019""","""2019""","""Yes""","""1""",72801
NA,"""California""","""06""","""2019""","""2019""","""No""","""2""",373333
NA,"""California""","""06""","""2019""","""2019""","""Unknown or Not Stated""","""9""",345
NA,"""California""","""06""","""2020""","""2020""","""Yes""","""1""",67532
NA,"""California""","""06""","""2020""","""2020""","""No""","""2""",352508
NA,"""California""","""06""","""2020""","""2020""","""Unknown or Not Stated""","""9""",219
NA,"""California""","""06""","""2021""","""2021""","""Yes""","""1""",65800
NA,"""California""","""06""","""2021""","""2021""","""No""","""2""",354567
NA,"""California""","""06""","""2021""","""2021""","""Unknown or Not Stated""","""9""",241
NA,"""Colorado""","""08""","""2016""","""2016""","""Yes""","""1""",8415
NA,"""Colorado""","""08""","""2016""","""2016""","""No""","""2""",58186
NA,"""Colorado""","""08""","""2016""","""2016""","""Unknown or Not Stated""","""9""",12
NA,"""Colorado""","""08""","""2017""","""2017""","""Yes""","""1""",8177
NA,"""Colorado""","""08""","""2017""","""2017""","""No""","""2""",56196
NA,"""Colorado""","""08""","""2018""","""2018""","""Yes""","""1""",7658
NA,"""Colorado""","""08""","""2018""","""2018""","""No""","""2""",55219
NA,"""Colorado""","""08""","""2019""","""2019""","""Yes""","""1""",7842
NA,"""Colorado""","""08""","""2019""","""2019""","""No""","""2""",55017
