"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Previous Preterm Birth""","""Previous Preterm Birth Code""","Births"
NA,"""Alabama""","""01""","""2016""","""2016""","""Yes""","""1""",1064
NA,"""Alabama""","""01""","""2016""","""2016""","""No""","""2""",58084
NA,"""Alabama""","""01""","""2017""","""2017""","""Yes""","""1""",1195
NA,"""Alabama""","""01""","""2017""","""2017""","""No""","""2""",57743
NA,"""Alabama""","""01""","""2018""","""2018""","""Yes""","""1""",1430
NA,"""Alabama""","""01""","""2018""","""2018""","""No""","""2""",56327
NA,"""Alabama""","""01""","""2019""","""2019""","""Yes""","""1""",2407
NA,"""Alabama""","""01""","""2019""","""2019""","""No""","""2""",56204
NA,"""Alabama""","""01""","""2020""","""2020""","""Yes""","""1""",2730
NA,"""Alabama""","""01""","""2020""","""2020""","""No""","""2""",54915
NA,"""Alabama""","""01""","""2021""","""2021""","""Yes""","""1""",3138
NA,"""Alabama""","""01""","""2021""","""2021""","""No""","""2""",54916
NA,"""Alaska""","""02""","""2016""","""2016""","""Yes""","""1""",573
NA,"""Alaska""","""02""","""2016""","""2016""","""No""","""2""",10561
NA,"""Alaska""","""02""","""2016""","""2016""","""Unknown or Not Stated""","""9""",75
NA,"""Alaska""","""02""","""2017""","""2017""","""Yes""","""1""",543
NA,"""Alaska""","""02""","""2017""","""2017""","""No""","""2""",9799
NA,"""Alaska""","""02""","""2017""","""2017""","""Unknown or Not Stated""","""9""",103
NA,"""Alaska""","""02""","""2018""","""2018""","""Yes""","""1""",516
NA,"""Alaska""","""02""","""2018""","""2018""","""No""","""2""",9451
NA,"""Alaska""","""02""","""2018""","""2018""","""Unknown or Not Stated""","""9""",119
NA,"""Alaska""","""02""","""2019""","""2019""","""Yes""","""1""",533
NA,"""Alaska""","""02""","""2019""","""2019""","""No""","""2""",9207
NA,"""Alaska""","""02""","""2019""","""2019""","""Unknown or Not Stated""","""9""",82
NA,"""Alaska""","""02""","""2020""","""2020""","""Yes""","""1""",494
NA,"""Alaska""","""02""","""2020""","""2020""","""No""","""2""",8896
NA,"""Alaska""","""02""","""2020""","""2020""","""Unknown or Not Stated""","""9""",79
NA,"""Alaska""","""02""","""2021""","""2021""","""Yes""","""1""",563
NA,"""Alaska""","""02""","""2021""","""2021""","""No""","""2""",8747
NA,"""Alaska""","""02""","""2021""","""2021""","""Unknown or Not Stated""","""9""",57
