condition_status,year,race,bmi,wtgain,counts,condition
At least one checked,2021,American Indian or Alaska Native,Underweight <18.5,11 to 20 pounds,19,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Underweight <18.5,21 to 30 pounds,36,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Underweight <18.5,31 to 40 pounds,30,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Underweight <18.5,41 to 98 pounds,43,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,Less than 11 pounds,182,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,11 to 20 pounds,374,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,21 to 30 pounds,643,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,31 to 40 pounds,579,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,41 to 98 pounds,689,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,Unknown or Not Stated,37,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,Less than 11 pounds,396,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,11 to 20 pounds,659,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,21 to 30 pounds,799,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,31 to 40 pounds,697,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,41 to 98 pounds,765,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,Unknown or Not Stated,29,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,Less than 11 pounds,605,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,11 to 20 pounds,762,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,21 to 30 pounds,749,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,31 to 40 pounds,517,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,41 to 98 pounds,554,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,Unknown or Not Stated,35,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,Less than 11 pounds,513,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,11 to 20 pounds,489,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,21 to 30 pounds,436,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,31 to 40 pounds,284,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,41 to 98 pounds,314,risk_factors_checked
