state_name,Condition,Year,Counts
Alabama,Yes,2016,646
Alabama,Yes,2017,727
Alabama,Yes,2018,598
Alabama,Yes,2019,701
Alabama,Yes,2020,783
Alabama,Yes,2021,772
Alabama,No,2016,58502
Alabama,No,2017,58211
Alabama,No,2018,57159
Alabama,No,2019,57910
Alabama,No,2020,56862
Alabama,No,2021,57282
Alaska,Yes,2016,108
Alaska,Yes,2017,96
Alaska,Yes,2018,110
Alaska,Yes,2019,98
Alaska,Yes,2020,110
Alaska,Yes,2021,127
Alaska,No,2016,11026
Alaska,No,2017,10246
Alaska,No,2018,9857
Alaska,No,2019,9642
Alaska,No,2020,9280
Alaska,No,2021,9183
Arizona,Yes,2016,765
Arizona,Yes,2017,856
Arizona,Yes,2018,934
Arizona,Yes,2019,880
Arizona,Yes,2020,940
Arizona,Yes,2021,983
Arizona,No,2016,83755
Arizona,No,2017,81016
Arizona,No,2018,79789
Arizona,No,2019,78493
Arizona,No,2020,76006
Arizona,No,2021,76933
Arkansas,Yes,2016,324
Arkansas,Yes,2017,358
Arkansas,Yes,2018,345
Arkansas,Yes,2019,351
Arkansas,Yes,2020,306
Arkansas,Yes,2021,381
Arkansas,No,2016,37950
Arkansas,No,2017,37159
Arkansas,No,2018,36670
Arkansas,No,2019,36212
Arkansas,No,2020,34945
Arkansas,No,2021,35583
California,Yes,2016,2944
California,Yes,2017,3143
California,Yes,2018,3393
California,Yes,2019,3437
California,Yes,2020,3741
California,Yes,2021,3797
California,No,2016,485880
California,No,2017,468512
California,No,2018,451518
California,No,2019,442697
California,No,2020,416299
California,No,2021,416570
Colorado,Yes,2016,484
Colorado,Yes,2017,474
Colorado,Yes,2018,474
Colorado,Yes,2019,524
Colorado,Yes,2020,561
Colorado,Yes,2021,559
Colorado,No,2016,66117
Colorado,No,2017,63899
Colorado,No,2018,62403
Colorado,No,2019,62335
Colorado,No,2020,60918
Colorado,No,2021,62381
Connecticut,Yes,2016,313
Connecticut,Yes,2017,330
Connecticut,Yes,2018,293
Connecticut,Yes,2019,321
Connecticut,Yes,2020,325
Connecticut,Yes,2021,377
Connecticut,No,2016,35008
Connecticut,No,2017,34618
Connecticut,No,2018,34321
Connecticut,No,2019,33816
Connecticut,No,2020,32996
Connecticut,No,2021,35268
Delaware,Yes,2016,98
Delaware,Yes,2017,104
Delaware,Yes,2018,113
Delaware,Yes,2019,108
Delaware,Yes,2020,68
Delaware,Yes,2021,104
Delaware,No,2016,10893
Delaware,No,2017,10750
Delaware,No,2018,10504
Delaware,No,2019,10439
Delaware,No,2020,10292
Delaware,No,2021,10352
District of Columbia,Yes,2016,102
District of Columbia,Yes,2017,71
District of Columbia,Yes,2018,87
District of Columbia,Yes,2019,98
District of Columbia,Yes,2020,128
District of Columbia,Yes,2021,109
District of Columbia,No,2016,9741
District of Columbia,No,2017,9488
District of Columbia,No,2018,9123
District of Columbia,No,2019,8977
District of Columbia,No,2020,8742
District of Columbia,No,2021,8545
Florida,Yes,2016,1916
Florida,Yes,2017,1930
Florida,Yes,2018,1843
Florida,Yes,2019,1956
Florida,Yes,2020,2001
Florida,Yes,2021,1992
Florida,No,2016,222690
Florida,No,2017,221196
Florida,No,2018,219227
Florida,No,2019,217729
Florida,No,2020,207376
Florida,No,2021,213589
Georgia,Yes,2016,1300
Georgia,Yes,2017,1397
Georgia,Yes,2018,1194
Georgia,Yes,2019,1356
