state_name,year,condition_status,counts,condition
Alabama,2016,Yes,70,hepatitis_B
Alabama,2016,No,59063,hepatitis_B
Alabama,2016,Unknown or Not Stated,18,hepatitis_B
Alabama,2017,Yes,99,hepatitis_B
Alabama,2017,No,58827,hepatitis_B
Alabama,2017,Unknown or Not Stated,15,hepatitis_B
Alabama,2018,Yes,91,hepatitis_B
Alabama,2018,No,57658,hepatitis_B
Alabama,2018,Unknown or Not Stated,12,hepatitis_B
Alabama,2019,Yes,74,hepatitis_B
Alabama,2019,No,58531,hepatitis_B
Alabama,2019,Unknown or Not Stated,10,hepatitis_B
Alabama,2020,Yes,68,hepatitis_B
Alabama,2020,No,57574,hepatitis_B
Alabama,2021,Yes,90,hepatitis_B
Alabama,2021,No,57956,hepatitis_B
Alaska,2016,Yes,43,hepatitis_B
Alaska,2016,No,11068,hepatitis_B
Alaska,2016,Unknown or Not Stated,98,hepatitis_B
Alaska,2017,Yes,36,hepatitis_B
Alaska,2017,No,10290,hepatitis_B
Alaska,2017,Unknown or Not Stated,119,hepatitis_B
Alaska,2018,Yes,26,hepatitis_B
Alaska,2018,No,9929,hepatitis_B
Alaska,2018,Unknown or Not Stated,131,hepatitis_B
Alaska,2019,Yes,26,hepatitis_B
Alaska,2019,No,9687,hepatitis_B
Alaska,2019,Unknown or Not Stated,109,hepatitis_B
Alaska,2020,Yes,30,hepatitis_B
Alaska,2020,No,9352,hepatitis_B
Alaska,2020,Unknown or Not Stated,87,hepatitis_B
Alaska,2021,Yes,15,hepatitis_B
Alaska,2021,No,9288,hepatitis_B
Alaska,2021,Unknown or Not Stated,64,hepatitis_B
Arizona,2016,Yes,121,hepatitis_B
Arizona,2016,No,84398,hepatitis_B
Arizona,2017,Yes,118,hepatitis_B
Arizona,2017,No,81748,hepatitis_B
Arizona,2018,Yes,99,hepatitis_B
Arizona,2018,No,80621,hepatitis_B
Arizona,2019,Yes,109,hepatitis_B
Arizona,2019,No,79262,hepatitis_B
Arizona,2020,Yes,102,hepatitis_B
Arizona,2020,No,76841,hepatitis_B
Arizona,2021,Yes,107,hepatitis_B
Arizona,2021,No,77803,hepatitis_B
Arkansas,2016,Yes,59,hepatitis_B
Arkansas,2016,No,38213,hepatitis_B
Arkansas,2017,Yes,329,hepatitis_B
Arkansas,2017,No,37187,hepatitis_B
Arkansas,2018,Yes,70,hepatitis_B
Arkansas,2018,No,36945,hepatitis_B
Arkansas,2019,Yes,44,hepatitis_B
Arkansas,2019,No,36518,hepatitis_B
Arkansas,2020,Yes,44,hepatitis_B
Arkansas,2020,No,35205,hepatitis_B
Arkansas,2021,Yes,37,hepatitis_B
Arkansas,2021,No,35925,hepatitis_B
California,2016,Yes,1253,hepatitis_B
California,2016,No,487533,hepatitis_B
California,2016,Unknown or Not Stated,41,hepatitis_B
California,2017,Yes,1243,hepatitis_B
California,2017,No,470382,hepatitis_B
California,2017,Unknown or Not Stated,33,hepatitis_B
California,2018,Yes,1181,hepatitis_B
California,2018,No,453684,hepatitis_B
California,2018,Unknown or Not Stated,55,hepatitis_B
California,2019,Yes,1338,hepatitis_B
California,2019,No,444208,hepatitis_B
California,2019,Unknown or Not Stated,933,hepatitis_B
California,2020,Yes,1099,hepatitis_B
California,2020,No,417744,hepatitis_B
California,2020,Unknown or Not Stated,1416,hepatitis_B
California,2021,Yes,1034,hepatitis_B
California,2021,No,417753,hepatitis_B
California,2021,Unknown or Not Stated,1821,hepatitis_B
Colorado,2016,Yes,146,hepatitis_B
Colorado,2016,No,66457,hepatitis_B
Colorado,2016,Unknown or Not Stated,10,hepatitis_B
Colorado,2017,Yes,134,hepatitis_B
Colorado,2017,No,64237,hepatitis_B
Colorado,2017,Unknown or Not Stated,11,hepatitis_B
Colorado,2018,Yes,118,hepatitis_B
Colorado,2018,No,62760,hepatitis_B
Colorado,2019,Yes,111,hepatitis_B
Colorado,2019,No,62750,hepatitis_B
Colorado,2020,Yes,130,hepatitis_B
Colorado,2020,No,61353,hepatitis_B
Colorado,2020,Unknown or Not Stated,11,hepatitis_B
Colorado,2021,Yes,80,hepatitis_B
Colorado,2021,No,62864,hepatitis_B
Connecticut,2016,Yes,76,hepatitis_B
Connecticut,2016,No,35325,hepatitis_B
Connecticut,2016,Unknown or Not Stated,614,hepatitis_B
Connecticut,2017,Yes,75,hepatitis_B
Connecticut,2017,No,34899,hepatitis_B
Connecticut,2017,Unknown or Not Stated,247,hepatitis_B
Connecticut,2018,Yes,66,hepatitis_B
Connecticut,2018,No,34571,hepatitis_B
Connecticut,2018,Unknown or Not Stated,88,hepatitis_B
Connecticut,2019,Yes,50,hepatitis_B
Connecticut,2019,No,34124,hepatitis_B
Connecticut,2019,Unknown or Not Stated,84,hepatitis_B
Connecticut,2020,Yes,43,hepatitis_B
Connecticut,2020,No,33327,hepatitis_B
Connecticut,2020,Unknown or Not Stated,90,hepatitis_B
Connecticut,2021,Yes,49,hepatitis_B
Connecticut,2021,No,35591,hepatitis_B
Connecticut,2021,Unknown or Not Stated,30,hepatitis_B
Delaware,2016,Yes,27,hepatitis_B
Delaware,2016,No,10965,hepatitis_B
Delaware,2017,Yes,28,hepatitis_B
Delaware,2017,No,10826,hepatitis_B
Delaware,2018,Yes,23,hepatitis_B
Delaware,2018,No,10594,hepatitis_B
Delaware,2019,Yes,24,hepatitis_B
Delaware,2019,No,10492,hepatitis_B
Delaware,2019,Unknown or Not Stated,46,hepatitis_B
Delaware,2020,Yes,32,hepatitis_B
Delaware,2020,No,10241,hepatitis_B
Delaware,2020,Unknown or Not Stated,119,hepatitis_B
Delaware,2021,Yes,23,hepatitis_B
Delaware,2021,No,10370,hepatitis_B
Delaware,2021,Unknown or Not Stated,89,hepatitis_B
District of Columbia,2016,Yes,16,hepatitis_B
District of Columbia,2016,No,9826,hepatitis_B
District of Columbia,2016,Unknown or Not Stated,16,hepatitis_B
District of Columbia,2017,Yes,22,hepatitis_B
District of Columbia,2017,No,9535,hepatitis_B
District of Columbia,2018,Yes,20,hepatitis_B
District of Columbia,2018,No,9189,hepatitis_B
District of Columbia,2019,Yes,22,hepatitis_B
District of Columbia,2019,No,9051,hepatitis_B
District of Columbia,2020,Yes,24,hepatitis_B
District of Columbia,2020,No,8845,hepatitis_B
District of Columbia,2021,Yes,14,hepatitis_B
District of Columbia,2021,No,8540,hepatitis_B
