state_name,year,condition_status,counts,condition
Alabama,2003,Yes,2896,pregnancy-associated_hypertension
Alabama,2003,No,56636,pregnancy-associated_hypertension
Alabama,2003,Unknown or Not Stated,20,pregnancy-associated_hypertension
Alabama,2004,Yes,3004,pregnancy-associated_hypertension
Alabama,2004,No,56496,pregnancy-associated_hypertension
Alabama,2004,Unknown or Not Stated,10,pregnancy-associated_hypertension
Alabama,2005,Yes,3339,pregnancy-associated_hypertension
Alabama,2005,No,57099,pregnancy-associated_hypertension
Alabama,2005,Unknown or Not Stated,15,pregnancy-associated_hypertension
Alabama,2006,Yes,4099,pregnancy-associated_hypertension
Alabama,2006,No,59086,pregnancy-associated_hypertension
Alabama,2006,Unknown or Not Stated,47,pregnancy-associated_hypertension
Alaska,2003,Yes,359,pregnancy-associated_hypertension
Alaska,2003,No,8897,pregnancy-associated_hypertension
Alaska,2003,Unknown or Not Stated,830,pregnancy-associated_hypertension
Alaska,2004,Yes,366,pregnancy-associated_hypertension
Alaska,2004,No,8987,pregnancy-associated_hypertension
Alaska,2004,Unknown or Not Stated,985,pregnancy-associated_hypertension
Alaska,2005,Yes,451,pregnancy-associated_hypertension
Alaska,2005,No,9862,pregnancy-associated_hypertension
Alaska,2005,Unknown or Not Stated,146,pregnancy-associated_hypertension
Alaska,2006,Yes,429,pregnancy-associated_hypertension
Alaska,2006,No,10409,pregnancy-associated_hypertension
Alaska,2006,Unknown or Not Stated,158,pregnancy-associated_hypertension
Arizona,2003,Yes,2560,pregnancy-associated_hypertension
Arizona,2003,No,88401,pregnancy-associated_hypertension
Arizona,2004,Yes,2707,pregnancy-associated_hypertension
Arizona,2004,No,90949,pregnancy-associated_hypertension
Arizona,2005,Yes,2978,pregnancy-associated_hypertension
Arizona,2005,No,93217,pregnancy-associated_hypertension
Arizona,2006,Yes,2961,pregnancy-associated_hypertension
Arizona,2006,No,99467,pregnancy-associated_hypertension
Arkansas,2003,Yes,1897,pregnancy-associated_hypertension
Arkansas,2003,No,35864,pregnancy-associated_hypertension
Arkansas,2003,Unknown or Not Stated,23,pregnancy-associated_hypertension
Arkansas,2004,Yes,1790,pregnancy-associated_hypertension
Arkansas,2004,No,36759,pregnancy-associated_hypertension
